Timestamp,Protocol,Payload Size (bytes),Device Active Time (ms)
70340304154200,HTTP,281,0
70340406352300,HTTP,281,0
70340484933700,HTTP,281,0
70340603123400,HTTP,281,0
70340626506900,HTTP,281,0
70340642740400,HTTP,281,0
70340661237800,HTTP,281,0
70340680239100,HTTP,281,0
70340810500300,HTTP,281,0
70340913965000,HTTP,281,0
70340938817600,HTTP,281,0
70340968662900,HTTP,281,0
70341018934200,HTTP,281,0
70341123110900,HTTP,281,0
70341140375300,HTTP,281,0
70341161483300,HTTP,281,0
70341181420900,HTTP,281,0
70341219544700,HTTP,281,0
70341326750100,HTTP,281,0
70341429279800,HTTP,281,0
70341532696600,HTTP,281,0
70341549314300,HTTP,281,0
70341735065000,HTTP,281,0
70341755771100,HTTP,281,0
70341839165800,HTTP,281,0
70341855298700,HTTP,281,0
70341942561700,HTTP,281,0
70342045772400,HTTP,281,0
70342155447000,HTTP,281,0
70342207177600,HTTP,281,0
70342232553500,HTTP,281,0
70342290298900,HTTP,281,0
70342370338600,HTTP,281,0
70342582875500,HTTP,281,0
70342613822600,HTTP,281,0
70342634846200,HTTP,281,0
70342660246900,HTTP,281,0
70342763037900,HTTP,281,0
70342862559600,HTTP,281,0
70342966614500,HTTP,282,0
70342981644600,HTTP,282,0
70343063278500,HTTP,282,0
70343164223100,HTTP,282,0
70343179646700,HTTP,282,0
70343271851600,HTTP,282,0
70343286871100,HTTP,282,0
70343309082500,HTTP,282,0
70343324184500,HTTP,282,0
70343340514900,HTTP,282,0
70343363521000,HTTP,282,0
70343476078800,HTTP,282,0
70343492053800,HTTP,282,0
70343580749000,HTTP,282,0
70343682948800,HTTP,282,0
70343784043500,HTTP,282,0
70343886158100,HTTP,282,0
70344001910200,HTTP,282,0
70344018168300,HTTP,282,0
70344033660600,HTTP,282,0
70344050095900,HTTP,282,0
70344092764300,HTTP,282,0
70344192974500,HTTP,282,0
70344208380800,HTTP,282,0
70344297009300,HTTP,282,0
70344402721900,HTTP,282,0
70344501301300,HTTP,282,0
70344516093300,HTTP,282,0
70344610640100,HTTP,282,0
70344626753500,HTTP,282,0
70344704562300,HTTP,282,0
70344806909600,HTTP,282,0
70344822356600,HTTP,282,0
70344837674500,HTTP,282,0
70344852677300,HTTP,282,0
70344904200600,HTTP,282,0
70344919173900,HTTP,282,0
70344933737900,HTTP,282,0
70344948134900,HTTP,282,0
70344981244000,HTTP,282,0
70345018384100,HTTP,282,0
70345033509800,HTTP,282,0
70345055627300,HTTP,282,0
70345072032400,HTTP,282,0
70345088384700,HTTP,282,0
70345117562700,HTTP,282,0
70345132855000,HTTP,282,0
70345147719400,HTTP,282,0
70345166885300,HTTP,282,0
70345190298400,HTTP,282,0
70345211947400,HTTP,282,0
70345229733700,HTTP,282,0
70345244632800,HTTP,282,0
70345261278300,HTTP,282,0
70345276707000,HTTP,282,0
70345293902400,HTTP,282,0
70345312131200,HTTP,282,0
70345327437000,HTTP,282,0
70345342407900,HTTP,282,0
70345358318500,HTTP,282,0
70345374263200,HTTP,282,0
70345389146500,HTTP,282,0
70345406594400,HTTP,282,0
70345424677300,HTTP,282,0
70345439162400,HTTP,282,0
70345453438500,HTTP,282,0
70345468182800,HTTP,282,0
70345497979300,HTTP,282,0
70345520849500,HTTP,282,0
70345535596500,HTTP,282,0
70345550310300,HTTP,282,0
70345570644100,HTTP,282,0
70345585553700,HTTP,282,0
70345602368200,HTTP,282,0
70345650464500,HTTP,282,0
70345666434400,HTTP,282,0
70345681170300,HTTP,282,0
70345695979800,HTTP,282,0
70345710376200,HTTP,282,0
70345728387500,HTTP,282,0
70345744440200,HTTP,282,0
70345760009000,HTTP,282,0
70345775523500,HTTP,282,0
70345792248400,HTTP,282,0
70345808155400,HTTP,282,0
70345827521900,HTTP,282,0
70345842329800,HTTP,282,0
70345857056900,HTTP,282,0
70345875588800,HTTP,282,0
70345892110100,HTTP,282,0
70345907638700,HTTP,282,0
70345935872100,HTTP,282,0
70345951439100,HTTP,282,0
70345966487100,HTTP,282,0
70345981771800,HTTP,282,0
70346001651500,HTTP,282,0
70346018768400,HTTP,282,0
70346035310900,HTTP,282,0
70346051854200,HTTP,282,0
70346066576200,HTTP,282,0
70346081341400,HTTP,282,0
70346096374800,HTTP,282,0
70346112732400,HTTP,282,0
70346132373400,HTTP,282,0
70346147459500,HTTP,282,0
70346161634100,HTTP,282,0
70346178070000,HTTP,282,0
70346193110600,HTTP,282,0
70346207439100,HTTP,282,0
70346223971600,HTTP,282,0
70346239877200,HTTP,282,0
70346254555900,HTTP,282,0
70346270439900,HTTP,282,0
70346284845400,HTTP,282,0
70346300933100,HTTP,282,0
70346316149100,HTTP,282,0
70346347183700,HTTP,282,0
70346362887300,HTTP,282,0
70346379766000,HTTP,282,0
70346404241100,HTTP,282,0
70346421557900,HTTP,282,0
70346440570300,HTTP,282,0
70346455656300,HTTP,282,0
70346471661400,HTTP,282,0
70346489368200,HTTP,282,0
70346504225500,HTTP,282,0
70346519189000,HTTP,282,0
70346539752800,HTTP,282,0
70346554670600,HTTP,282,0
70346577322600,HTTP,282,0
70346595325500,HTTP,282,0
70346611119200,HTTP,282,0
70346626779900,HTTP,282,0
70346670552900,HTTP,282,0
70346685614100,HTTP,282,0
70346703473200,HTTP,282,0
70346717875200,HTTP,282,0
70346736432700,HTTP,282,0
70346755173200,HTTP,282,0
70346770550900,HTTP,282,0
70346784969300,HTTP,282,0
70346816431300,HTTP,282,0
70346830583600,HTTP,282,0
70346847667100,HTTP,282,0
70346863086100,HTTP,282,0
70346877589700,HTTP,282,0
70346893515400,HTTP,282,0
70346908883100,HTTP,282,0
70346923990800,HTTP,282,0
70346943457900,HTTP,282,0
70346962398500,HTTP,282,0
70346980782600,HTTP,282,0
70347002631800,HTTP,282,0
70347018563500,HTTP,282,0
70347038437400,HTTP,282,0
70347058441800,HTTP,282,0
70347073724400,HTTP,282,0
70347088710900,HTTP,282,0
70347105768800,HTTP,282,0
70347120953300,HTTP,282,0
70347139794700,HTTP,282,0
70347160325800,HTTP,282,0
70347175807700,HTTP,282,0
70347194651500,HTTP,282,0
70347210238400,HTTP,282,0
70347229867900,HTTP,282,0
70347248764800,HTTP,282,0
70347267450600,HTTP,282,0
70347282351700,HTTP,282,0
70347296609100,HTTP,282,0
70347312565600,HTTP,282,0
70347329040800,HTTP,282,0
70347343560800,HTTP,282,0
70347361385400,HTTP,282,0
70347376719400,HTTP,282,0
70347391912600,HTTP,282,0
70347409127300,HTTP,282,0
70347423531900,HTTP,282,0
70347441420200,HTTP,282,0
