Timestamp,Protocol,Payload Size (bytes),Device Active Time (ms),Client IP,Client Port,Header Size (bytes),QoS / Method
78922404922100,HTTP,2273,0,::ffff:10.85.52.177,62077,198,POST
78922452065200,HTTP,2273,0,::ffff:10.85.52.177,64418,198,POST
78922497349300,HTTP,2273,0,::ffff:10.85.52.177,57078,198,POST
78922547182600,HTTP,2273,0,::ffff:10.85.52.177,51768,198,POST
78922592597600,HTTP,2273,0,::ffff:10.85.52.177,56727,198,POST
78922635584600,HTTP,2273,0,::ffff:10.85.52.177,51627,198,POST
78922678305500,HTTP,2273,0,::ffff:10.85.52.177,50560,198,POST
78922725772700,HTTP,2273,0,::ffff:10.85.52.177,59619,198,POST
78922771546200,HTTP,2273,0,::ffff:10.85.52.177,63431,198,POST
78922815279700,HTTP,2273,0,::ffff:10.85.52.177,63289,198,POST
78922861302600,HTTP,2273,0,::ffff:10.85.52.177,54024,198,POST
78922901371300,HTTP,2273,0,::ffff:10.85.52.177,61428,198,POST
78922947468000,HTTP,2273,0,::ffff:10.85.52.177,64066,198,POST
78922991844800,HTTP,2273,0,::ffff:10.85.52.177,56235,198,POST
78923041662700,HTTP,2273,0,::ffff:10.85.52.177,50182,198,POST
78923083682700,HTTP,2273,0,::ffff:10.85.52.177,63914,198,POST
78928241702000,MQTT,2090,0,N/A (Broker),N/A,15,0
78928255765900,MQTT,2090,0,N/A (Broker),N/A,15,0
78928293011100,MQTT,2090,0,N/A (Broker),N/A,15,0
78928308257800,MQTT,2090,0,N/A (Broker),N/A,15,0
78928324100900,MQTT,2090,0,N/A (Broker),N/A,15,0
78928342051000,MQTT,2090,0,N/A (Broker),N/A,15,0
78928360268500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928383645500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928401153200,MQTT,2090,0,N/A (Broker),N/A,15,0
78928418429800,MQTT,2090,0,N/A (Broker),N/A,15,0
78928441383000,MQTT,2090,0,N/A (Broker),N/A,15,0
78928458105900,MQTT,2090,0,N/A (Broker),N/A,15,0
78928486088800,MQTT,2090,0,N/A (Broker),N/A,15,0
78928528499800,MQTT,2090,0,N/A (Broker),N/A,15,0
78928555998300,MQTT,2090,0,N/A (Broker),N/A,15,0
78928586525700,MQTT,2090,0,N/A (Broker),N/A,15,0
78928607439600,MQTT,2090,0,N/A (Broker),N/A,15,0
78928631017100,MQTT,2090,0,N/A (Broker),N/A,15,0
78928662269500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928682136500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928705667900,MQTT,2090,0,N/A (Broker),N/A,15,0
78928720882200,MQTT,2090,0,N/A (Broker),N/A,15,0
78928744340600,MQTT,2090,0,N/A (Broker),N/A,15,0
78928761800500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928790981600,MQTT,2090,0,N/A (Broker),N/A,15,0
78928816305600,MQTT,2090,0,N/A (Broker),N/A,15,0
78928834723500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928857923500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928887220000,MQTT,2090,0,N/A (Broker),N/A,15,0
78928912220000,MQTT,2090,0,N/A (Broker),N/A,15,0
78928936480500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928954777300,MQTT,2090,0,N/A (Broker),N/A,15,0
78928980998700,MQTT,2090,0,N/A (Broker),N/A,15,0
78928997809500,MQTT,2090,0,N/A (Broker),N/A,15,0
78929022178900,MQTT,2090,0,N/A (Broker),N/A,15,0
78929050014300,MQTT,2090,0,N/A (Broker),N/A,15,0
78929075001800,MQTT,2090,0,N/A (Broker),N/A,15,0
78929102840100,MQTT,2090,0,N/A (Broker),N/A,15,0
78929125838400,MQTT,2090,0,N/A (Broker),N/A,15,0
78929142347200,MQTT,2090,0,N/A (Broker),N/A,15,0
78929165971300,MQTT,2090,0,N/A (Broker),N/A,15,0
78929196337900,MQTT,2090,0,N/A (Broker),N/A,15,0
78929214141800,MQTT,2090,0,N/A (Broker),N/A,15,0
78929231052400,MQTT,2090,0,N/A (Broker),N/A,15,0
78929256141800,MQTT,2090,0,N/A (Broker),N/A,15,0
78929278848000,MQTT,2090,0,N/A (Broker),N/A,15,0
78929298568100,MQTT,2090,0,N/A (Broker),N/A,15,0
78929319725200,MQTT,2090,0,N/A (Broker),N/A,15,0
78929342496100,MQTT,2090,0,N/A (Broker),N/A,15,0
78929360524200,MQTT,2090,0,N/A (Broker),N/A,15,0
78929382618000,MQTT,2090,0,N/A (Broker),N/A,15,0
78929412847700,MQTT,2090,0,N/A (Broker),N/A,15,0
78929430886500,MQTT,2090,0,N/A (Broker),N/A,15,0
78929446295900,MQTT,2090,0,N/A (Broker),N/A,15,0
78929471377000,MQTT,2090,0,N/A (Broker),N/A,15,0
78929496830900,MQTT,2090,0,N/A (Broker),N/A,15,0
78929514842700,MQTT,2090,0,N/A (Broker),N/A,15,0
78929537010700,MQTT,2090,0,N/A (Broker),N/A,15,0
78929560422400,MQTT,2090,0,N/A (Broker),N/A,15,0
78929580579000,MQTT,2090,0,N/A (Broker),N/A,15,0
78929609746100,MQTT,2090,0,N/A (Broker),N/A,15,0
78929638044600,MQTT,2090,0,N/A (Broker),N/A,15,0
78929655459000,MQTT,2090,0,N/A (Broker),N/A,15,0
78929675248300,MQTT,2090,0,N/A (Broker),N/A,15,0
78929702826200,MQTT,2090,0,N/A (Broker),N/A,15,0
78929730959500,MQTT,2090,0,N/A (Broker),N/A,15,0
78929750165900,MQTT,2090,0,N/A (Broker),N/A,15,0
78929776147800,MQTT,2090,0,N/A (Broker),N/A,15,0
78929825172000,MQTT,2090,0,N/A (Broker),N/A,15,0
78929840728200,MQTT,2090,0,N/A (Broker),N/A,15,0
78929864944700,MQTT,2090,0,N/A (Broker),N/A,15,0
78929898613600,MQTT,2090,0,N/A (Broker),N/A,15,0
78929917959200,MQTT,2090,0,N/A (Broker),N/A,15,0
78929952618200,MQTT,2090,0,N/A (Broker),N/A,15,0
78929967044900,MQTT,2090,0,N/A (Broker),N/A,15,0
78929989482600,MQTT,2090,0,N/A (Broker),N/A,15,0
78930013601100,MQTT,2090,0,N/A (Broker),N/A,15,0
78930037515900,MQTT,2090,0,N/A (Broker),N/A,15,0
78930059487100,MQTT,2090,0,N/A (Broker),N/A,15,0
78930077009800,MQTT,2090,0,N/A (Broker),N/A,15,0
78930102870900,MQTT,2090,0,N/A (Broker),N/A,15,0
78930129477300,MQTT,2090,0,N/A (Broker),N/A,15,0
78930146987600,MQTT,2090,0,N/A (Broker),N/A,15,0
78930169330100,MQTT,2090,0,N/A (Broker),N/A,15,0
78930185680100,MQTT,2090,0,N/A (Broker),N/A,15,0
78930214054900,MQTT,2090,0,N/A (Broker),N/A,15,0
78930231532700,MQTT,2090,0,N/A (Broker),N/A,15,0
78930258927000,MQTT,2090,0,N/A (Broker),N/A,15,0
78930280239100,MQTT,2090,0,N/A (Broker),N/A,15,0
78930308961200,MQTT,2090,0,N/A (Broker),N/A,15,0
78930331828100,MQTT,2090,0,N/A (Broker),N/A,15,0
78930353627800,MQTT,2090,0,N/A (Broker),N/A,15,0
78930370396200,MQTT,2090,0,N/A (Broker),N/A,15,0
78930392535800,MQTT,2090,0,N/A (Broker),N/A,15,0
78930409221900,MQTT,2090,0,N/A (Broker),N/A,15,0
78930469306200,MQTT,2090,0,N/A (Broker),N/A,15,0
78930491601900,MQTT,2090,0,N/A (Broker),N/A,15,0
78930544123000,MQTT,2090,0,N/A (Broker),N/A,15,0
78930596701400,MQTT,2090,0,N/A (Broker),N/A,15,0
78930732365900,MQTT,2090,0,N/A (Broker),N/A,15,0
79106784431400,HTTP,2273,0,::ffff:10.85.52.177,50041,198,POST
79106845328400,HTTP,2273,0,::ffff:10.85.52.177,61067,198,POST
79106908727000,HTTP,2273,0,::ffff:10.85.52.177,64469,198,POST
79106971205100,HTTP,2273,0,::ffff:10.85.52.177,51762,198,POST
79107031219900,HTTP,2273,0,::ffff:10.85.52.177,62686,198,POST
79107091918800,HTTP,2273,0,::ffff:10.85.52.177,54877,198,POST
79107158568200,HTTP,2273,0,::ffff:10.85.52.177,54448,198,POST
79107237663500,HTTP,2273,0,::ffff:10.85.52.177,55579,198,POST
79107298128000,HTTP,2273,0,::ffff:10.85.52.177,53774,198,POST
79107347013400,HTTP,2273,0,::ffff:10.85.52.177,51518,198,POST
79107399659600,HTTP,2273,0,::ffff:10.85.52.177,49550,198,POST
79107448393600,HTTP,2273,0,::ffff:10.85.52.177,51161,198,POST
79107506271300,HTTP,2273,0,::ffff:10.85.52.177,65356,198,POST
79107554093100,HTTP,2273,0,::ffff:10.85.52.177,62566,198,POST
79107617449600,HTTP,2273,0,::ffff:10.85.52.177,63513,198,POST
79107670717600,HTTP,2273,0,::ffff:10.85.52.177,55550,198,POST
79107742365800,HTTP,2273,0,::ffff:10.85.52.177,61024,198,POST
79107814010200,HTTP,2273,0,::ffff:10.85.52.177,63919,198,POST
79107887354200,HTTP,2273,0,::ffff:10.85.52.177,61361,198,POST
79107934815000,HTTP,2273,0,::ffff:10.85.52.177,54905,198,POST
79107983735500,HTTP,2273,0,::ffff:10.85.52.177,56525,198,POST
79108036403500,HTTP,2273,0,::ffff:10.85.52.177,51820,198,POST
79108086973200,HTTP,2273,0,::ffff:10.85.52.177,50854,198,POST
79108130491900,HTTP,2273,0,::ffff:10.85.52.177,49935,198,POST
79108172931600,HTTP,2273,0,::ffff:10.85.52.177,63171,198,POST
79108262290800,HTTP,2273,0,::ffff:10.85.52.177,59221,198,POST
79108318470100,HTTP,2273,0,::ffff:10.85.52.177,53900,198,POST
79108362313100,HTTP,2273,0,::ffff:10.85.52.177,54296,198,POST
79108412149500,HTTP,2273,0,::ffff:10.85.52.177,64916,198,POST
79108460262900,HTTP,2273,0,::ffff:10.85.52.177,60965,198,POST
79108515104200,HTTP,2273,0,::ffff:10.85.52.177,51118,198,POST
79108564308000,HTTP,2273,0,::ffff:10.85.52.177,65172,198,POST
79108614879100,HTTP,2273,0,::ffff:10.85.52.177,53797,198,POST
79108662715900,HTTP,2273,0,::ffff:10.85.52.177,61288,198,POST
79108709797700,HTTP,2273,0,::ffff:10.85.52.177,51648,198,POST
79108753485800,HTTP,2273,0,::ffff:10.85.52.177,61369,198,POST
79108806225900,HTTP,2273,0,::ffff:10.85.52.177,62429,198,POST
79108855530700,HTTP,2273,0,::ffff:10.85.52.177,56652,198,POST
79108923514100,HTTP,2273,0,::ffff:10.85.52.177,63908,198,POST
79108978144400,HTTP,2273,0,::ffff:10.85.52.177,53748,198,POST
79109058995800,HTTP,2273,0,::ffff:10.85.52.177,50367,198,POST
79109109094500,HTTP,2273,0,::ffff:10.85.52.177,54605,198,POST
79109155079100,HTTP,2273,0,::ffff:10.85.52.177,60500,198,POST
79109231486500,HTTP,2273,0,::ffff:10.85.52.177,62465,198,POST
79109285806900,HTTP,2273,0,::ffff:10.85.52.177,58840,198,POST
79109383349100,HTTP,2273,0,::ffff:10.85.52.177,49849,198,POST
79109465802900,HTTP,2273,0,::ffff:10.85.52.177,62909,198,POST
79109509820900,HTTP,2273,0,::ffff:10.85.52.177,49610,198,POST
79109585158800,HTTP,2273,0,::ffff:10.85.52.177,58204,198,POST
79109636180700,HTTP,2273,0,::ffff:10.85.52.177,56550,198,POST
79109692479100,HTTP,2273,0,::ffff:10.85.52.177,56912,198,POST
79109733964800,HTTP,2273,0,::ffff:10.85.52.177,58515,198,POST
79109773809900,HTTP,2273,0,::ffff:10.85.52.177,54700,198,POST
79109822842500,HTTP,2273,0,::ffff:10.85.52.177,62113,198,POST
79109869860000,HTTP,2273,0,::ffff:10.85.52.177,53266,198,POST
79109915450600,HTTP,2273,0,::ffff:10.85.52.177,57407,198,POST
79109965481900,HTTP,2273,0,::ffff:10.85.52.177,61035,198,POST
79110010610400,HTTP,2273,0,::ffff:10.85.52.177,58764,198,POST
79110061290400,HTTP,2273,0,::ffff:10.85.52.177,57334,198,POST
79110104179500,HTTP,2273,0,::ffff:10.85.52.177,64953,198,POST
79110150116200,HTTP,2273,0,::ffff:10.85.52.177,60842,198,POST
79110196500600,HTTP,2273,0,::ffff:10.85.52.177,62499,198,POST
79110254307800,HTTP,2273,0,::ffff:10.85.52.177,60179,198,POST
79110317769500,HTTP,2273,0,::ffff:10.85.52.177,52524,198,POST
79110376922700,HTTP,2273,0,::ffff:10.85.52.177,60771,198,POST
79110427198900,HTTP,2273,0,::ffff:10.85.52.177,51977,198,POST
79110470396700,HTTP,2273,0,::ffff:10.85.52.177,51557,198,POST
79110511698900,HTTP,2273,0,::ffff:10.85.52.177,57726,198,POST
79110556720300,HTTP,2273,0,::ffff:10.85.52.177,57800,198,POST
79110596878500,HTTP,2273,0,::ffff:10.85.52.177,54696,198,POST
79110643906000,HTTP,2273,0,::ffff:10.85.52.177,52045,198,POST
79110694971000,HTTP,2273,0,::ffff:10.85.52.177,58196,198,POST
79110733939300,HTTP,2273,0,::ffff:10.85.52.177,49907,198,POST
79110778376800,HTTP,2273,0,::ffff:10.85.52.177,50176,198,POST
79110819547800,HTTP,2273,0,::ffff:10.85.52.177,53576,198,POST
79110870348900,HTTP,2273,0,::ffff:10.85.52.177,58340,198,POST
79110907178200,HTTP,2273,0,::ffff:10.85.52.177,52022,198,POST
79110955125900,HTTP,2273,0,::ffff:10.85.52.177,59948,198,POST
79111000293100,HTTP,2273,0,::ffff:10.85.52.177,63175,198,POST
79111043802900,HTTP,2273,0,::ffff:10.85.52.177,53071,198,POST
79111094566100,HTTP,2273,0,::ffff:10.85.52.177,49699,198,POST
79111137990600,HTTP,2273,0,::ffff:10.85.52.177,65051,198,POST
79111185789100,HTTP,2273,0,::ffff:10.85.52.177,61868,198,POST
79111226785300,HTTP,2273,0,::ffff:10.85.52.177,60934,198,POST
79111272661000,HTTP,2273,0,::ffff:10.85.52.177,52584,198,POST
79111320811500,HTTP,2273,0,::ffff:10.85.52.177,60088,198,POST
79111364162400,HTTP,2273,0,::ffff:10.85.52.177,59038,198,POST
